Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount,,ORG_NAME,ORG_DESC,FUND,ACCT_CODE
FY19,Expense,Fiscal Services,Income Tax,Transformation Fund,Other Financing,Operating Trans-Capt Projects,4150000,,Supplemental,1020 - Supplemental,2300,9953
FY19,Expense,Other Activities,Downtown Improvement District,DID-General,Personnel Services,Full Time Employees,4920,,Administration,1000 - Administration,2510,7020
FY19,Expense,Other Activities,Downtown Improvement District,DID-General,Personnel Services,Employers FICA,372,,Administration,1000 - Administration,2510,7105
FY19,Expense,Other Activities,Downtown Improvement District,DID-General,Personnel Services,Hospitalization Insurance,720,,Administration,1000 - Administration,2510,7110
FY19,Expense,Other Activities,Downtown Improvement District,DID-General,Personnel Services,Retiree Health Care-OPEB,612,,Administration,1000 - Administration,2510,7115
FY19,Expense,Other Activities,Downtown Improvement District,DID-General,Personnel Services,Retirement Fund Contribution,1116,,Administration,1000 - Administration,2510,7120
FY19,Expense,Other Activities,Downtown Improvement District,DID-General,Personnel Services,Unemployment Compensation,12,,Administration,1000 - Administration,2510,7135
FY19,Expense,Other Activities,Downtown Improvement District,DID-General,Supplies,Supplies,10176,,Administration,1000 - Administration,2510,7520
FY19,Expense,Other Activities,Downtown Improvement District,DID-General,Other Services and Charges,Contractual Services,21930,,Administration,1000 - Administration,2510,8010
FY19,Expense,Other Activities,Downtown Improvement District,DID-General,Other Services and Charges,Administrative Services,33072,,Administration,1000 - Administration,2510,8030
FY19,Expense,Other Activities,Downtown Improvement District,DID-General,Other Services and Charges,Insurance Premium-2,6120,,Administration,1000 - Administration,2510,8405
FY19,Expense,Other Activities,Downtown Improvement District,DID-General,Other Services and Charges,Software Maintenance Agreements,3060,,Administration,1000 - Administration,2510,9330
FY19,Expense,Other Activities,Downtown Improvement District,DID-General,Other Services and Charges,Contractual Services,102000,,Operations,2000 - Operations,2510,8010
FY19,Expense,Other Activities,Downtown Improvement District,DID-Campau,Other Services and Charges,Natural Gas,52500,,Operations,2000 - Operations,2511,9210
FY19,Expense,Other Activities,Downtown Improvement District,DID-Monroe Center,Other Services and Charges,Steam,162225,,Operations,2000 - Operations,2512,9220
FY19,Expense,Other Activities,Downtown Improvement District,DID-Monument Park,Other Services and Charges,Steam,16538,,Operations,2000 - Operations,2513,9220
FY19,Expense,Other Activities,Downtown Improvement District,DID-General,Other Financing,Operating Transfers-A87 Cost,35423,,Operations,2000 - Operations,2510,9952
FY19,Expense,Other Activities,Downtown Improvement District,DID-General,Supplies,Supplies,6630,,Events and Communications,3000 - Events and Communications,2510,7520
FY19,Expense,Other Activities,Downtown Improvement District,DID-General,Other Services and Charges,Contractual Services,3570,,Events and Communications,3000 - Events and Communications,2510,8010
FY19,Expense,Other Activities,Downtown Improvement District,DID-General,Other Services and Charges,Administrative Services,71400,,Events and Communications,3000 - Events and Communications,2510,8030
FY19,Expense,Other Activities,Downtown Improvement District,DID-General,Other Services and Charges,Advertising - Any Media,7421,,Events and Communications,3000 - Events and Communications,2510,9010
FY19,Expense,Other Activities,Downtown Improvement District,DID-General,Other Services and Charges,Contractual Services,494700,,Maintenance and Beautification,4000 - Maintenance and Beautification,2510,8010
FY19,Expense,Other Activities,Downtown Improvement District,DID-General,Other Services and Charges,Administrative Services,30600,,Maintenance and Beautification,4000 - Maintenance and Beautification,2510,8030
FY19,Expense,Other Activities,Downtown Improvement District,DID-General,Other Services and Charges,Equipment Repairs,3570,,Maintenance and Beautification,4000 - Maintenance and Beautification,2510,9310
FY19,Expense,Other Activities,Historical Commission,Historical Commission,Other Services and Charges,Contractual Services,5400,,Administration,1000 - Administration,1552,8010
FY19,Expense,Other Activities,Long Term Debt,General Fund Operating,Other Financing,Appropriation Lapse,-4000000,,Appropriation Lapse,2010 - Appropriation Lapse,1010,9959
FY19,Expense,Police,Dispatch,Community Dispatch,Personnel Services,Full Time Employees,2521589,,Administration,1000 - Administration,2610,7020
FY19,Expense,Police,Dispatch,Community Dispatch,Personnel Services,Acting Assignment,15300,,Administration,1000 - Administration,2610,7025
FY19,Expense,Police,Dispatch,Community Dispatch,Personnel Services,Temporary Noncontract Employees,34444,,Administration,1000 - Administration,2610,7040
FY19,Expense,Police,Dispatch,Community Dispatch,Personnel Services,Regular Hourly Rate,13260,,Administration,1000 - Administration,2610,7050
FY19,Expense,Police,Dispatch,Community Dispatch,Personnel Services,Time & One-half,515000,,Administration,1000 - Administration,2610,7055
FY19,Expense,Police,Dispatch,Community Dispatch,Personnel Services,Employers FICA,238334,,Administration,1000 - Administration,2610,7105
FY19,Expense,Police,Dispatch,Community Dispatch,Personnel Services,Hospitalization Insurance,604800,,Administration,1000 - Administration,2610,7110
FY19,Expense,Police,Dispatch,Community Dispatch,Personnel Services,Retiree Health Care-OPEB,313411,,Administration,1000 - Administration,2610,7115
FY19,Expense,Police,Dispatch,Community Dispatch,Personnel Services,Retirement Fund Contribution,696616,,Administration,1000 - Administration,2610,7120
FY19,Expense,Police,Dispatch,Community Dispatch,Personnel Services,Unemployment Compensation,3465,,Administration,1000 - Administration,2610,7135
FY19,Expense,Police,Dispatch,Community Dispatch,Personnel Services,Shift Differential,15300,,Administration,1000 - Administration,2610,7165
FY19,Expense,Police,Dispatch,Community Dispatch,Supplies,Supplies,28000,,Administration,1000 - Administration,2610,7520
FY19,Expense,Police,Dispatch,Community Dispatch,Supplies,Subscriptions and Publications,1000,,Administration,1000 - Administration,2610,7910
FY19,Expense,Police,Dispatch,Community Dispatch,Other Services and Charges,Contractual Services,6000,,Administration,1000 - Administration,2610,8010
FY19,Expense,Police,Dispatch,Community Dispatch,Other Services and Charges,Claims,52640,,Administration,1000 - Administration,2610,8450
FY19,Expense,Police,Dispatch,Community Dispatch,Other Services and Charges,Telephone,8000,,Administration,1000 - Administration,2610,8500
FY19,Expense,Police,Dispatch,Community Dispatch,Other Services and Charges,Other Travel & Training,2040,,Administration,1000 - Administration,2610,9110
FY19,Expense,Police,Dispatch,Community Dispatch,Other Services and Charges,Memberships,1500,,Administration,1000 - Administration,2610,9150
FY19,Expense,Police,Dispatch,Community Dispatch,Other Services and Charges,Maintenance Service,20000,,Administration,1000 - Administration,2610,9340
FY19,Expense,Police,Dispatch,Community Dispatch,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,141435,,Administration,1000 - Administration,2610,9430
FY19,Expense,Police,Dispatch,Community Dispatch,Other Services and Charges,Employee Parking,36855,,Administration,1000 - Administration,2610,9470
FY19,Expense,Police,Dispatch,Community Dispatch,Other Services and Charges,Computer Services-from IT,78308,,Administration,1000 - Administration,2610,9480
FY19,Expense,Police,Dispatch,Community Dispatch,Capital Outlays,Equipment,5100,,Administration,1000 - Administration,2610,9760
FY19,Expense,Police,Dispatch,Community Dispatch,Capital Outlays,Furniture,3060,,Administration,1000 - Administration,2610,9800
FY19,Expense,Police,Dispatch,Community Dispatch,Other Financing,Operating Transfers-A87 Cost,176838,,Administration,1000 - Administration,2610,9952
FY19,Expense,Police,Dispatch,Community Dispatch,Other Financing,Operating Trans-Misc,90661,,Administration,1000 - Administration,2610,9955
FY19,Expense,Police,Dispatch,Community Dispatch,Other Financing,Appropriation Lapse,-125000,,Administration,1000 - Administration,2610,9959
FY19,Expense,Police,Police,General Fund Operating,Personnel Services,Full Time Employees,601961,,Administration,1000 - Administration,1010,7020
FY19,Expense,Police,Police,General Fund Operating,Personnel Services,Regular Hourly Rate,1020,,Administration,1000 - Administration,1010,7050
FY19,Expense,Police,Police,General Fund Operating,Personnel Services,Time & One-half,36059,,Administration,1000 - Administration,1010,7055
FY19,Expense,Police,Police,General Fund Operating,Personnel Services,Employers FICA,43699,,Administration,1000 - Administration,1010,7105
FY19,Expense,Police,Police,General Fund Operating,Personnel Services,Hospitalization Insurance,93600,,Administration,1000 - Administration,1010,7110
FY19,Expense,Police,Police,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,85155,,Administration,1000 - Administration,1010,7115
FY19,Expense,Police,Police,General Fund Operating,Personnel Services,Retirement Fund Contribution,147688,,Administration,1000 - Administration,1010,7120
FY19,Expense,Police,Police,General Fund Operating,Personnel Services,Unemployment Compensation,839,,Administration,1000 - Administration,1010,7135
FY19,Expense,Police,Police,General Fund Operating,Supplies,Supplies,5250,,Administration,1000 - Administration,1010,7520
FY19,Expense,Police,Police,General Fund Operating,Other Services and Charges,Contractual Services,144000,,Administration,1000 - Administration,1010,8010
FY19,Expense,Police,Police,General Fund Operating,Other Services and Charges,Insurance Premiums,20432,,Administration,1000 - Administration,1010,8400
FY19,Expense,Police,Police,General Fund Operating,Other Services and Charges,Claims,820426,,Administration,1000 - Administration,1010,8450
FY19,Expense,Police,Police,General Fund Operating,Other Services and Charges,Maintenance Service,8432,,Administration,1000 - Administration,1010,9340
FY19,Expense,Police,Police,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,20706,,Administration,1000 - Administration,1010,9430
FY19,Expense,Police,Police,General Fund Operating,Other Services and Charges,311 Call Center Services,10400,,Administration,1000 - Administration,1010,9450
FY19,Expense,Police,Police,General Fund Operating,Other Services and Charges,Computer Services-from IT,1198953,,Administration,1000 - Administration,1010,9480
FY19,Expense,Police,Police,General Fund Operating,Personnel Services,Full Time Employees,234518,,Community Engagement,1020 - Community Engagement,1010,7020
FY19,Expense,Police,Police,General Fund Operating,Personnel Services,Time & One-half,12019,,Community Engagement,1020 - Community Engagement,1010,7055
FY19,Expense,Police,Police,General Fund Operating,Personnel Services,Employers FICA,3596,,Community Engagement,1020 - Community Engagement,1010,7105
FY19,Expense,Police,Police,General Fund Operating,Personnel Services,Hospitalization Insurance,43200,,Community Engagement,1020 - Community Engagement,1010,7110
FY19,Expense,Police,Police,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,42439,,Community Engagement,1020 - Community Engagement,1010,7115
FY19,Expense,Police,Police,General Fund Operating,Personnel Services,Retirement Fund Contribution,60200,,Community Engagement,1020 - Community Engagement,1010,7120
FY19,Expense,Police,Police,General Fund Operating,Personnel Services,Unemployment Compensation,336,,Community Engagement,1020 - Community Engagement,1010,7135
FY19,Expense,Police,Police,General Fund Operating,Personnel Services,Shift Differential,1632,,Community Engagement,1020 - Community Engagement,1010,7165
FY19,Expense,Police,Police,General Fund Operating,Supplies,Supplies,25000,,Community Engagement,1020 - Community Engagement,1010,7520
FY19,Expense,Police,Police,General Fund Operating,Other Services and Charges,Contractual Services,20000,,Community Engagement,1020 - Community Engagement,1010,8010
FY19,Expense,Police,Police,General Fund Operating,Other Services and Charges,Other Travel & Training,13000,,Community Engagement,1020 - Community Engagement,1010,9110
FY19,Expense,Police,Police,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,13806,,Community Engagement,1020 - Community Engagement,1010,9430
FY19,Expense,Police,Police,General Fund Operating,Capital Outlays,Software,8000,,Community Engagement,1020 - Community Engagement,1010,9840
FY19,Expense,Police,Police,General Fund Operating,Personnel Services,Full Time Employees,205536,,Admin-Internal Affairs,1040 - Admin-Internal Affairs,1010,7020
FY19,Expense,Police,Police,General Fund Operating,Personnel Services,Regular Hourly Rate,1020,,Admin-Internal Affairs,1040 - Admin-Internal Affairs,1010,7050
FY19,Expense,Police,Police,General Fund Operating,Personnel Services,Time & One-half,18030,,Admin-Internal Affairs,1040 - Admin-Internal Affairs,1010,7055
FY19,Expense,Police,Police,General Fund Operating,Personnel Services,Employers FICA,4980,,Admin-Internal Affairs,1040 - Admin-Internal Affairs,1010,7105
FY19,Expense,Police,Police,General Fund Operating,Personnel Services,Hospitalization Insurance,36000,,Admin-Internal Affairs,1040 - Admin-Internal Affairs,1010,7110
FY19,Expense,Police,Police,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,37266,,Admin-Internal Affairs,1040 - Admin-Internal Affairs,1010,7115
