Fiscal Year,Account Type,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Account Category,Account Code,Account Description,Amount
FY17,Expense,Public Library,Library,2140,2140 - West Leonard Branch,2710,Public Library Operating,Other Services and Charges,9340,Maintenance Service,21200
FY17,Expense,Public Library,Library,2140,2140 - West Leonard Branch,2710,Public Library Operating,Personal Services,7110,Hospitalization Insurance,23400
FY17,Expense,Public Library,Library,2140,2140 - West Leonard Branch,2710,Public Library Operating,Personal Services,7135,Unemployment Compensation,1593
FY17,Expense,Public Library,Library,2140,2140 - West Leonard Branch,2710,Public Library Operating,Personal Services,7020,Full Time Employees,139039
FY17,Expense,Public Library,Library,2140,2140 - West Leonard Branch,2710,Public Library Operating,Capital Outlays,9800,Furniture,7100
FY17,Expense,Public Library,Library,2140,2140 - West Leonard Branch,2710,Public Library Operating,Other Services and Charges,9100,Professional Development,3090
FY17,Expense,Public Library,Library,2140,2140 - West Leonard Branch,2710,Public Library Operating,Other Services and Charges,9200,Electricity,19000
FY17,Expense,Public Library,Library,2140,2140 - West Leonard Branch,2710,Public Library Operating,Other Services and Charges,9150,Memberships,540
FY17,Expense,Public Library,Library,2140,2140 - West Leonard Branch,2710,Public Library Operating,Other Services and Charges,9470,Employee Parking,700
FY17,Expense,Human Resources,Human Resources,2150,2150 - Health Insurance,6770,Health Insurance,Other Services and Charges,8450,Claims,29917
FY17,Expense,Human Resources,Human Resources,2150,2150 - Health Insurance,6770,Health Insurance,Other Services and Charges,9470,Employee Parking,814
FY17,Expense,Human Resources,Human Resources,2150,2150 - Health Insurance,6770,Health Insurance,Other Services and Charges,8400,Insurance Premiums,22411630
FY17,Revenue,Human Resources,Human Resources,2150,2150 - Health Insurance,6770,Health Insurance,Other Revenues,6765,Employee Contribution-Health Care,4725265
FY17,Expense,Human Resources,Human Resources,2150,2150 - Health Insurance,6770,Health Insurance,Other Services and Charges,8010,Contractual Services,797560
FY17,Expense,Human Resources,Human Resources,2150,2150 - Health Insurance,6770,Health Insurance,Personal Services,7110,Hospitalization Insurance,29504
FY17,Expense,Human Resources,Human Resources,2150,2150 - Health Insurance,6770,Health Insurance,Other Services and Charges,9480,Computer Services-from IT,8347
FY17,Expense,Human Resources,Human Resources,2150,2150 - Health Insurance,6770,Health Insurance,Other Services and Charges,8800,Community Promotion,18000
FY17,Expense,Human Resources,Human Resources,2150,2150 - Health Insurance,6770,Health Insurance,Personal Services,7120,Retirement Fund Contribution,39195
FY17,Revenue,Human Resources,Human Resources,2150,2150 - Health Insurance,6770,Health Insurance,Charges for Services,6351,Health Ins-Active,16976920
FY17,Expense,Human Resources,Human Resources,2150,2150 - Health Insurance,6770,Health Insurance,Personal Services,7115,Retiree Health Care-OPEB,20101
FY17,Expense,Human Resources,Human Resources,2150,2150 - Health Insurance,6770,Health Insurance,Other Financing,9952,Operating Transfers-A87 Cost,157417
FY17,Expense,Human Resources,Human Resources,2150,2150 - Health Insurance,6770,Health Insurance,Personal Services,7020,Full Time Employees,166821
FY17,Expense,Human Resources,Human Resources,2150,2150 - Health Insurance,6770,Health Insurance,Personal Services,7135,Unemployment Compensation,231
FY17,Expense,Human Resources,Human Resources,2150,2150 - Health Insurance,6770,Health Insurance,Personal Services,7105,Employers FICA,12762
FY17,Expense,Human Resources,Human Resources,2150,2150 - Health Insurance,6770,Health Insurance,Other Services and Charges,8240,Fees,135000
FY17,Expense,Public Library,Library,2150,2150 - West Side Branch,2710,Public Library Operating,Other Services and Charges,9200,Electricity,16000
FY17,Expense,Public Library,Library,2150,2150 - West Side Branch,2710,Public Library Operating,Personal Services,7040,Temporary Noncontract Employees,73736
FY17,Expense,Public Library,Library,2150,2150 - West Side Branch,2710,Public Library Operating,Personal Services,7110,Hospitalization Insurance,11700
FY17,Expense,Public Library,Library,2150,2150 - West Side Branch,2710,Public Library Operating,Personal Services,7135,Unemployment Compensation,499
FY17,Expense,Public Library,Library,2150,2150 - West Side Branch,2710,Public Library Operating,Other Services and Charges,9180,Water,3200
FY17,Expense,Public Library,Library,2150,2150 - West Side Branch,2710,Public Library Operating,Other Services and Charges,9190,Refuse Collection Charges,1300
FY17,Expense,Public Library,Library,2150,2150 - West Side Branch,2710,Public Library Operating,Personal Services,7105,Employers FICA,10166
FY17,Expense,Public Library,Library,2150,2150 - West Side Branch,2710,Public Library Operating,Capital Outlays,9800,Furniture,5680
FY17,Expense,Public Library,Library,2150,2150 - West Side Branch,2710,Public Library Operating,Personal Services,7120,Retirement Fund Contribution,14036
FY17,Expense,Public Library,Library,2150,2150 - West Side Branch,2710,Public Library Operating,Other Services and Charges,9210,Natural Gas,15000
FY17,Expense,Public Library,Library,2150,2150 - West Side Branch,2710,Public Library Operating,Personal Services,7115,Retiree Health Care-OPEB,3372
FY17,Expense,Public Library,Library,2150,2150 - West Side Branch,2710,Public Library Operating,Other Services and Charges,9340,Maintenance Service,25000
FY17,Expense,Public Library,Library,2150,2150 - West Side Branch,2710,Public Library Operating,Other Services and Charges,9150,Memberships,100
FY17,Expense,Public Library,Library,2150,2150 - West Side Branch,2710,Public Library Operating,Personal Services,7020,Full Time Employees,59151
FY17,Expense,Public Library,Library,2160,2160 - Yankee Clipper Branch,2710,Public Library Operating,Personal Services,7105,Employers FICA,12129
FY17,Expense,Public Library,Library,2160,2160 - Yankee Clipper Branch,2710,Public Library Operating,Personal Services,7040,Temporary Noncontract Employees,90700
FY17,Expense,Public Library,Library,2160,2160 - Yankee Clipper Branch,2710,Public Library Operating,Personal Services,7120,Retirement Fund Contribution,16101
FY17,Expense,Public Library,Library,2160,2160 - Yankee Clipper Branch,2710,Public Library Operating,Capital Outlays,9760,Equipment,500
FY17,Expense,Public Library,Library,2160,2160 - Yankee Clipper Branch,2710,Public Library Operating,Other Services and Charges,9200,Electricity,16000
FY17,Expense,Public Library,Library,2160,2160 - Yankee Clipper Branch,2710,Public Library Operating,Personal Services,7020,Full Time Employees,67850
FY17,Expense,Public Library,Library,2160,2160 - Yankee Clipper Branch,2710,Public Library Operating,Capital Outlays,9800,Furniture,830
FY17,Expense,Public Library,Library,2160,2160 - Yankee Clipper Branch,2710,Public Library Operating,Personal Services,7115,Retiree Health Care-OPEB,3867
FY17,Expense,Public Library,Library,2160,2160 - Yankee Clipper Branch,2710,Public Library Operating,Other Services and Charges,9150,Memberships,100
FY17,Expense,Public Library,Library,2160,2160 - Yankee Clipper Branch,2710,Public Library Operating,Other Services and Charges,9180,Water,3000
FY17,Expense,Public Library,Library,2160,2160 - Yankee Clipper Branch,2710,Public Library Operating,Other Services and Charges,9190,Refuse Collection Charges,1000
FY17,Expense,Public Library,Library,2160,2160 - Yankee Clipper Branch,2710,Public Library Operating,Other Services and Charges,9210,Natural Gas,8500
FY17,Expense,Public Library,Library,2160,2160 - Yankee Clipper Branch,2710,Public Library Operating,Other Services and Charges,9340,Maintenance Service,28500
FY17,Expense,Public Library,Library,2160,2160 - Yankee Clipper Branch,2710,Public Library Operating,Personal Services,7110,Hospitalization Insurance,11700
FY17,Expense,Public Library,Library,2160,2160 - Yankee Clipper Branch,2710,Public Library Operating,Personal Services,7135,Unemployment Compensation,829
FY17,Revenue,Public Library,Library,2170,2170 - Miscellaneous,2710,Public Library Operating,State Grants,5511,MI Dept of Education,120000
FY17,Revenue,Public Library,Library,2170,2170 - Miscellaneous,2710,Public Library Operating,Contribution from Local Units,5802,Local Government Revenues,375000
FY17,Revenue,Public Library,Library,2170,2170 - Miscellaneous,2710,Public Library Operating,Charges for Services,6260,Service Fees-General,125000
FY17,Expense,Public Library,Library,2170,2170 - Miscellaneous,2710,Public Library Operating,Other Financing,9952,Operating Transfers-A87 Cost,256968
FY17,Expense,Public Library,Library,2170,2170 - Miscellaneous,2710,Public Library Operating,Other Services and Charges,9150,Memberships,11030
FY17,Expense,Public Library,Library,2170,2170 - Miscellaneous,2710,Public Library Operating,Other Services and Charges,9100,Professional Development,7900
FY17,Expense,Public Library,Library,2170,2170 - Miscellaneous,2710,Public Library Operating,Other Services and Charges,8400,Insurance Premiums,24293
FY17,Expense,Public Library,Library,2170,2170 - Miscellaneous,2710,Public Library Operating,Other Services and Charges,8450,Claims,75586
FY17,Revenue,Public Library,Library,2170,2170 - Miscellaneous,2710,Public Library Operating,Taxes,4020,Real Property Taxes,128000
FY17,Expense,Public Library,Library,2170,2170 - Miscellaneous,2710,Public Library Operating,Personal Services,7115,Retiree Health Care-OPEB,78497
FY17,Expense,Public Library,Library,2170,2170 - Miscellaneous,2710,Public Library Operating,Other Services and Charges,9460,Engineering Services,2400
FY17,Expense,Public Library,Library,2170,2170 - Miscellaneous,2710,Public Library Operating,Other Services and Charges,9130,Local Business Expense,8400
FY17,Expense,Public Library,Library,2170,2170 - Miscellaneous,2710,Public Library Operating,Other Financing,9959,Appropriation Lapse,-36832
FY17,Expense,Public Library,Library,2170,2170 - Miscellaneous,2710,Public Library Operating,Personal Services,7165,Shift Differential,3000
FY17,Expense,Public Library,Library,2170,2170 - Miscellaneous,2710,Public Library Operating,Other Services and Charges,9410,Equipment Rentals or Lease,53566
FY17,Expense,Public Library,Library,2170,2170 - Miscellaneous,2710,Public Library Operating,Personal Services,7055,Time & One-half,22000
FY17,Revenue,Public Library,Library,2170,2170 - Miscellaneous,2710,Public Library Operating,Fines & Forfeitures,6585,Library Book Fines,200000
FY17,Expense,Public Library,Library,2170,2170 - Miscellaneous,2710,Public Library Operating,Other Services and Charges,8010,Contractual Services,31000
FY17,Expense,Public Library,Library,2170,2170 - Miscellaneous,2710,Public Library Operating,Other Services and Charges,9140,Tuition Reimbursement-Scholarsh,2000
FY17,Expense,Public Library,Library,2170,2170 - Miscellaneous,2710,Public Library Operating,Other Services and Charges,9340,Maintenance Service,25000
FY17,Expense,Human Resources,Human Resources,2199,2199 - Other,1010,General Fund Operating,Other Services and Charges,9410,Equipment Rentals or Lease,4000
FY17,Expense,Human Resources,Human Resources,2199,2199 - Other,1010,General Fund Operating,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,77890
FY17,Expense,Human Resources,Human Resources,2199,2199 - Other,1010,General Fund Operating,Other Services and Charges,9450,311 Call Center Services,16381
FY17,Expense,Human Resources,Human Resources,2199,2199 - Other,1010,General Fund Operating,Other Services and Charges,8450,Claims,13417
FY17,Expense,Human Resources,Human Resources,2199,2199 - Other,1010,General Fund Operating,Other Services and Charges,9000,Printing & Publishing,5000
FY17,Expense,Human Resources,Human Resources,2199,2199 - Other,1010,General Fund Operating,Other Services and Charges,9150,Memberships,980
FY17,Expense,Human Resources,Human Resources,2199,2199 - Other,6771,Other Reserves-Insurance,Other Services and Charges,8400,Insurance Premiums,39906
FY17,Expense,Human Resources,Human Resources,2199,2199 - Other,1010,General Fund Operating,Other Services and Charges,8800,Community Promotion,10000
FY17,Expense,Human Resources,Human Resources,2199,2199 - Other,6771,Other Reserves-Insurance,Other Services and Charges,8440,Death Benefits,100000
FY17,Expense,Human Resources,Human Resources,2199,2199 - Other,1010,General Fund Operating,Other Services and Charges,9140,Tuition Reimbursement-Scholarsh,40000
FY17,Expense,Human Resources,Human Resources,2199,2199 - Other,1010,General Fund Operating,Other Services and Charges,8010,Contractual Services,25000
FY17,Expense,Clerk's Office,Clerk,2200,2200 - Election Admin-Billing,1010,General Fund Operating,Personal Services,7055,Time & One-half,5000
FY17,Expense,Clerk's Office,Clerk,2200,2200 - Election Admin-Billing,1010,General Fund Operating,Personal Services,7050,Regular Hourly Rate,10000
FY17,Expense,Public Services,Refuse,2200,2200 - Neighborhood-Millage-Refuse,2260,Refuse Collection,Personal Services,7105,Employers FICA,38
FY17,Expense,Public Services,Refuse,2200,2200 - Neighborhood-Millage-Refuse,2260,Refuse Collection,Other Financing,9952,Operating Transfers-A87 Cost,2332
FY17,Expense,Public Services,Refuse,2200,2200 - Neighborhood-Millage-Refuse,2260,Refuse Collection,Other Services and Charges,8010,Contractual Services,90000
FY17,Expense,Public Services,Refuse,2200,2200 - Neighborhood-Millage-Refuse,2260,Refuse Collection,Other Services and Charges,9000,Printing & Publishing,5000
FY17,Expense,Public Services,Refuse,2200,2200 - Neighborhood-Millage-Refuse,2260,Refuse Collection,Other Services and Charges,8450,Claims,1329
FY17,Expense,Public Services,Refuse,2200,2200 - Neighborhood-Millage-Refuse,2260,Refuse Collection,Personal Services,7055,Time & One-half,500
